Fecha,Rango edad,Número de hombres,Número mujeres
['01/04/2018 07:00:01'],0-4,2226,2074
['01/04/2018 07:00:01'],5-9,2899,2746
['01/04/2018 07:00:01'],10-14,2704,2440
['01/04/2018 07:00:01'],15-19,2512,2315
['01/04/2018 07:00:01'],20-24,2213,2073
['01/04/2018 07:00:01'],25-29,2310,2474
['01/04/2018 07:00:01'],30-34,2878,3108
['01/04/2018 07:00:01'],35-39,3785,4029
['01/04/2018 07:00:01'],40-44,4479,4758
['01/04/2018 07:00:01'],45-49,3992,3941
['01/04/2018 07:00:01'],50-54,3236,3454
['01/04/2018 07:00:01'],55-59,2665,2950
['01/04/2018 07:00:01'],60-64,2134,2568
['01/04/2018 07:00:01'],65-69,2066,2362
['01/04/2018 07:00:01'],70-74,1718,1840
['01/04/2018 07:00:01'],75-79,999,1100
['01/04/2018 07:00:01'],80-84,657,846
['01/04/2018 07:00:01'],85-89,380,598
['01/04/2018 07:00:01'],90-94,133,327
['01/04/2018 07:00:01'],95-99,26,117
['01/04/2018 07:00:01'],100-104,3,19
['15/03/2018 07:00:01'],0-4,2218,2080
['15/03/2018 07:00:01'],5-9,2900,2750
['15/03/2018 07:00:01'],10-14,2709,2436
['15/03/2018 07:00:01'],15-19,2515,2318
['15/03/2018 07:00:01'],20-24,2220,2069
['15/03/2018 07:00:01'],25-29,2317,2489
['15/03/2018 07:00:01'],30-34,2893,3107
['15/03/2018 07:00:01'],35-39,3801,4038
['15/03/2018 07:00:01'],40-44,4492,4764
['15/03/2018 07:00:01'],45-49,3997,3946
['15/03/2018 07:00:01'],50-54,3239,3459
['15/03/2018 07:00:01'],55-59,2664,2951
['15/03/2018 07:00:01'],60-64,2141,2573
['15/03/2018 07:00:01'],65-69,2070,2366
['15/03/2018 07:00:01'],70-74,1720,1842
['15/03/2018 07:00:01'],75-79,999,1100
['15/03/2018 07:00:01'],80-84,659,845
['15/03/2018 07:00:01'],85-89,380,597
['15/03/2018 07:00:01'],90-94,133,333
['15/03/2018 07:00:01'],95-99,26,117
['15/03/2018 07:00:01'],100-104,3,19
['01/03/2018 07:00:01'],0-4,2196,2051
['01/03/2018 07:00:01'],5-9,2897,2745
['01/03/2018 07:00:01'],10-14,2703,2431
['01/03/2018 07:00:01'],15-19,2514,2311
['01/03/2018 07:00:01'],20-24,2210,2058
['01/03/2018 07:00:01'],25-29,2300,2477
['01/03/2018 07:00:01'],30-34,2877,3085
['01/03/2018 07:00:01'],35-39,3788,4025
['01/03/2018 07:00:01'],40-44,4479,4755
['01/03/2018 07:00:01'],45-49,3987,3940
['01/03/2018 07:00:01'],50-54,3231,3454
['01/03/2018 07:00:01'],55-59,2661,2950
['01/03/2018 07:00:01'],60-64,2139,2566
['01/03/2018 07:00:01'],65-69,2068,2364
['01/03/2018 07:00:01'],70-74,1718,1840
['01/03/2018 07:00:01'],75-79,1000,1100
['01/03/2018 07:00:01'],80-84,657,845
['01/03/2018 07:00:01'],85-89,380,598
['01/03/2018 07:00:01'],90-94,131,332
['01/03/2018 07:00:01'],95-99,27,116
['01/03/2018 07:00:01'],100-104,3,19
['15/02/2018 07:00:01'],0-4,2141,2011
['15/02/2018 07:00:01'],5-9,2886,2740
['15/02/2018 07:00:01'],10-14,2698,2424
['15/02/2018 07:00:01'],15-19,2509,2310
['15/02/2018 07:00:01'],20-24,2205,2051
['15/02/2018 07:00:01'],25-29,2300,2461
['15/02/2018 07:00:01'],30-34,2854,3070
['15/02/2018 07:00:01'],35-39,3774,4001
['15/02/2018 07:00:01'],40-44,4465,4746
['15/02/2018 07:00:01'],45-49,3979,3930
['15/02/2018 07:00:01'],50-54,3228,3450
['15/02/2018 07:00:01'],55-59,2659,2946
['15/02/2018 07:00:01'],60-64,2138,2568
['15/02/2018 07:00:01'],65-69,2068,2362
['15/02/2018 07:00:01'],70-74,1719,1839
['15/02/2018 07:00:01'],75-79,1000,1101
['15/02/2018 07:00:01'],80-84,660,843
['15/02/2018 07:00:01'],85-89,379,599
['15/02/2018 07:00:01'],90-94,135,335
['15/02/2018 07:00:01'],95-99,30,118
['15/02/2018 07:00:01'],100-104,3,20
['01/02/2018 07:00:01'],0-4,2132,2008
['01/02/2018 07:00:01'],5-9,2895,2744
['01/02/2018 07:00:01'],10-14,2698,2422
['01/02/2018 07:00:01'],15-19,2510,2308
['01/02/2018 07:00:01'],20-24,2210,2052
['01/02/2018 07:00:01'],25-29,2313,2480
['01/02/2018 07:00:01'],30-34,2876,3089
['01/02/2018 07:00:01'],35-39,3792,4001
['01/02/2018 07:00:01'],40-44,4472,4757
['01/02/2018 07:00:01'],45-49,3989,3930
['01/02/2018 07:00:01'],50-54,3227,3448
['01/02/2018 07:00:01'],55-59,2657,2947
['01/02/2018 07:00:01'],60-64,2140,2573
['01/02/2018 07:00:01'],65-69,2072,2364
['01/02/2018 07:00:01'],70-74,1719,1842
['01/02/2018 07:00:01'],75-79,999,1100
['01/02/2018 07:00:01'],80-84,662,844
['01/02/2018 07:00:01'],85-89,381,600
['01/02/2018 07:00:01'],90-94,134,335
['01/02/2018 07:00:01'],95-99,30,119
['01/02/2018 07:00:01'],100-104,3,20
['15/01/2018 07:00:01'],0-4,2098,1970
['15/01/2018 07:00:01'],5-9,2890,2736
['15/01/2018 07:00:01'],10-14,2695,2418
['15/01/2018 07:00:01'],15-19,2512,2308
['15/01/2018 07:00:01'],20-24,2211,2049
['15/01/2018 07:00:01'],25-29,2311,2465
['15/01/2018 07:00:01'],30-34,2873,3093
['15/01/2018 07:00:01'],35-39,3803,4006
['15/01/2018 07:00:01'],40-44,4478,4755
['15/01/2018 07:00:01'],45-49,3997,3932
['15/01/2018 07:00:01'],50-54,3232,3452
['15/01/2018 07:00:01'],55-59,2669,2951
['15/01/2018 07:00:01'],60-64,2143,2574
['15/01/2018 07:00:01'],65-69,2073,2367
['15/01/2018 07:00:01'],70-74,1718,1839
['15/01/2018 07:00:01'],75-79,1002,1104
['15/01/2018 07:00:01'],80-84,663,844
['15/01/2018 07:00:01'],85-89,387,600
['15/01/2018 07:00:01'],90-94,137,337
['15/01/2018 07:00:01'],95-99,33,120
['15/01/2018 07:00:01'],100-104,3,20
['01/01/2018 07:00:01'],0-4,2087,1951
['01/01/2018 07:00:01'],5-9,2887,2738
['01/01/2018 07:00:01'],10-14,2695,2415
['01/01/2018 07:00:01'],15-19,2510,2304
['01/01/2018 07:00:01'],20-24,2213,2054
['01/01/2018 07:00:01'],25-29,2312,2460
['01/01/2018 07:00:01'],30-34,2857,3099
['01/01/2018 07:00:01'],35-39,3799,3999
['01/01/2018 07:00:01'],40-44,4479,4750
['01/01/2018 07:00:01'],45-49,3993,3930
['01/01/2018 07:00:01'],50-54,3223,3450
['01/01/2018 07:00:01'],55-59,2662,2950
['01/01/2018 07:00:01'],60-64,2145,2576
['01/01/2018 07:00:01'],65-69,2073,2367
['01/01/2018 07:00:01'],70-74,1717,1835
['01/01/2018 07:00:01'],75-79,1003,1103
['01/01/2018 07:00:01'],80-84,667,844
['01/01/2018 07:00:01'],85-89,389,602
['01/01/2018 07:00:01'],90-94,137,338
['01/01/2018 07:00:01'],95-99,33,118
['01/01/2018 07:00:01'],100-104,3,20
['15/12/2017 07:00:01'],0-4,2606,2477
